id.condition,strides,drops,strides.cut,strides.new.length,h.original,h.random,h.contiguous
S021_G01_D02_B01_T03,197,0.1,19,178,0.913535832236089,0.935464322447278,0.915052216834437
S021_G01_D02_B02_T01,198,0.1,19,179,0.852494487742423,0.863920680242517,0.868722213545555
S021_G01_D02_B02_T02,201,0.1,20,181,0.816034991536322,0.80183138966079,0.838161292198264
S021_G01_D02_B02_T03,198,0.1,19,179,0.794169062343584,0.799917159033862,0.778236775603366
S021_G01_D02_B03_T01,200,0.1,20,180,0.843952904808291,0.864718958986661,0.875567672920011
S021_G01_D02_B03_T02,204,0.1,20,184,0.882444714878169,0.903202186423542,0.878624378498294
S021_G01_D02_B03_T03,212,0.1,21,191,0.795089559491807,0.798301613143926,0.753272630222396
S023_G01_D01_B01_T01,205,0.1,20,185,0.770086189507587,0.767983078216187,0.760540260521267
S023_G01_D01_B01_T02,204,0.1,20,184,0.555415070722266,0.583122460855285,0.570543189195491
S023_G01_D01_B01_T03,205,0.1,20,185,0.752633093939752,0.754633745286273,0.712632902850986
S023_G01_D01_B02_T01,206,0.1,20,186,0.954767115774348,0.961711451560922,0.961983460797913
S023_G01_D01_B02_T02,207,0.1,20,187,0.75268956560147,0.738018098227696,0.76705795235751
S023_G01_D01_B02_T03,211,0.1,21,190,0.811944985370101,0.814910717269323,0.810413498906804
S023_G01_D01_B03_T01,212,0.1,21,191,0.905927810009502,0.914650311854342,0.910130203682119
S023_G01_D01_B03_T02,213,0.1,21,192,0.92729023913973,0.935944447522,0.939388446505543
S023_G01_D01_B03_T03,210,0.1,21,189,0.957025640666509,0.945381046925095,0.960071061207048
S023_G01_D02_B01_T01,216,0.1,21,195,0.783696610520311,0.771444573353459,0.788207149437822
S023_G01_D02_B01_T02,216,0.1,21,195,0.710332809257631,0.699199025781079,0.70445106691816
S023_G01_D02_B01_T03,217,0.1,21,196,0.788445081420657,0.786866453679154,0.791132304369595
S023_G01_D02_B02_T01,218,0.1,21,197,0.765206534632674,0.716635131750847,0.771458038439469
S023_G01_D02_B02_T02,217,0.1,21,196,0.666210338830213,0.666495217834129,0.65340717282091
S023_G01_D02_B02_T03,218,0.1,21,197,0.646834749736669,0.65968090233829,0.64449614629475
S023_G01_D02_B03_T01,219,0.1,21,198,0.744607941714682,0.748905675669113,0.760898801083582
S023_G01_D02_B03_T02,218,0.1,21,197,0.663145853672312,0.679836910138686,0.67097506830839
S023_G01_D02_B03_T03,216,0.1,21,195,0.709349863090878,0.717186792244377,0.708446548403657
S024_G01_D01_B01_T01,216,0.1,21,195,0.736107469722729,0.73941541110856,0.754468446879153
S024_G01_D01_B01_T02,217,0.1,21,196,0.7599874921115,0.739826261675755,0.780964883635719
S024_G01_D01_B01_T03,216,0.1,21,195,0.704196989751604,0.702693421940965,0.713030879468686
S024_G01_D01_B02_T01,217,0.1,21,196,0.64730755020241,0.5459192475266,0.618305628726543
S024_G01_D01_B02_T02,215,0.1,21,194,0.77785916763531,0.699138127101714,0.795324801617604
S024_G01_D01_B02_T03,215,0.1,21,194,0.711260103081595,0.735090774865905,0.705916986024861
S024_G01_D01_B03_T01,217,0.1,21,196,0.771476291638311,0.781252729011004,0.789172486521464
S024_G01_D01_B03_T02,219,0.1,21,198,0.803815550529226,0.803364658828233,0.812195529659461
S024_G01_D01_B03_T03,218,0.1,21,197,0.769718019275663,0.820042022026183,0.783165889364822
S024_G01_D02_B01_T01,220,0.1,22,198,0.707812852847216,0.702962231512146,0.738224053535819
S024_G01_D02_B01_T02,220,0.1,22,198,0.797929817553544,0.805686952107294,0.803193408159719
S024_G01_D02_B01_T03,222,0.1,22,200,0.985005317480308,0.986272837788121,0.982768821717956
S024_G01_D02_B02_T01,220,0.1,22,198,0.789304713814803,0.779749519507167,0.784450903967443
S024_G01_D02_B02_T02,221,0.1,22,199,0.688882033566834,0.63784594321516,0.688562358371506
S024_G01_D02_B02_T03,219,0.1,21,198,0.831877801027966,0.807399614941701,0.867817549282515
S024_G01_D02_B03_T01,222,0.1,22,200,0.794720423551016,0.826669085271348,0.793819796861913
S024_G01_D02_B03_T02,219,0.1,21,198,0.763899310120288,0.762313063595735,0.76717055456915
S024_G01_D02_B03_T03,221,0.1,22,199,0.954867588533897,0.963389925141251,0.970169492777595
S025_G01_D01_B01_T01,234,0.1,23,211,0.986219332033041,0.988901732014401,0.983979541335236
S025_G01_D01_B01_T02,239,0.1,23,216,0.958777629880027,0.964210800450492,0.969149834337784
S025_G01_D01_B01_T03,238,0.1,23,215,0.943878548458105,0.909141649154147,0.9506143473616
S025_G01_D01_B02_T01,236,0.1,23,213,0.869355336089949,0.885324734306265,0.883107557368565
S025_G01_D01_B02_T02,240,0.1,24,216,0.944822434536016,0.965869307372597,0.954047488858968
S025_G01_D01_B02_T03,240,0.1,24,216,0.899971568203505,0.929268650833768,0.904056147253193
S025_G01_D01_B03_T01,238,0.1,23,215,0.965126314764029,0.957760799322054,0.966281189175585
S025_G01_D01_B03_T02,241,0.1,24,217,0.901170853139992,0.907391190296403,0.896026287778305
S025_G01_D01_B03_T03,240,0.1,24,216,0.897687425536744,0.904947764687192,0.908494772461704
S025_G01_D02_B01_T01,244,0.1,24,220,0.943068242967192,0.945626581425431,0.947876683086973
S025_G01_D02_B01_T02,247,0.1,24,223,0.946965270944839,0.957519541266858,0.965003224991265
S025_G01_D02_B01_T03,242,0.1,24,218,0.85278042261282,0.858858026325571,0.859793226135702
S025_G01_D02_B02_T01,238,0.1,23,215,0.982327659603513,0.98493179022887,0.987769407230215
S025_G01_D02_B02_T02,239,0.1,23,216,0.957165025266041,0.891970497355769,0.959831379051163
S025_G01_D02_B02_T03,239,0.1,23,216,0.968189206827608,0.974025090078847,0.97500055966992
S025_G01_D02_B03_T01,242,0.1,24,218,0.892656123232707,0.911817909123206,0.882794405587757
S025_G01_D02_B03_T02,241,0.1,24,217,0.976373314360504,0.978668213202309,0.978965796529284
S025_G01_D02_B03_T03,248,0.1,24,224,0.893010977556939,0.898055727287247,0.892772363815245
S026_G01_D01_B01_T01,235,0.1,23,212,0.86542753183509,0.889355272231954,0.882002066092568
S026_G01_D01_B01_T02,235,0.1,23,212,0.754377153930605,0.724767366589762,0.757786800539854
S026_G01_D01_B01_T03,234,0.1,23,211,0.816187363479461,0.824054824926941,0.874123837781254
S026_G01_D01_B02_T01,237,0.1,23,214,0.837374441163963,0.868398036975784,0.830233070096218
S026_G01_D01_B02_T02,237,0.1,23,214,0.800239592401534,0.792739307593312,0.80596063623108
S026_G01_D01_B02_T03,240,0.1,24,216,0.864983845307477,0.803656358673849,0.882478133145234
S026_G01_D01_B03_T01,242,0.1,24,218,0.840164699393478,0.83926080425853,0.710963231720927
S026_G01_D01_B03_T02,244,0.1,24,220,0.939087090965442,0.936214721457301,0.946966427657722
S026_G01_D01_B03_T03,242,0.1,24,218,0.930600519046747,0.921147677331369,0.94652099560436
S026_G01_D02_B01_T02,249,0.1,24,225,0.925213313987677,0.916639226445592,0.896707778952744
S026_G01_D02_B01_T03,247,0.1,24,223,0.917501111385879,0.937677848466372,0.934992825084359
S026_G01_D02_B02_T01,246,0.1,24,222,0.940321661918724,0.957393600840488,0.944162031413207
S026_G01_D02_B02_T02,249,0.1,24,225,0.848071281809426,0.873711257024399,0.857072050480239
S026_G01_D02_B02_T03,248,0.1,24,224,0.902420128614102,0.905113688156115,0.926971044939916
S026_G01_D02_B03_T01,249,0.1,24,225,0.812233546894261,0.814041823271701,0.800562846482324
S026_G01_D02_B03_T02,245,0.1,24,221,0.911968520669237,0.909309188489159,0.91089451484838
S026_G01_D02_B03_T03,248,0.1,24,224,0.879333702815076,0.90306653267617,0.883981957022084
S027_G01_D01_B01_T02,215,0.1,21,194,0.710672678364136,0.68179802179504,0.705388399374102
S027_G01_D01_B01_T03,214,0.1,21,193,0.953887184440053,0.95692622795601,0.954727834009312
S027_G01_D01_B02_T01,213,0.1,21,192,0.785273191126318,0.773273625948721,0.799662604589632
S027_G01_D01_B02_T02,214,0.1,21,193,0.830546707055109,0.832623053153626,0.83257136495744
S027_G01_D01_B02_T03,217,0.1,21,196,0.96474313933099,0.966244470396307,0.976109390960177
S027_G01_D01_B03_T01,216,0.1,21,195,0.92106668791088,0.839722398690621,0.95387029011163
S027_G01_D01_B03_T02,216,0.1,21,195,0.648802462417448,0.638338174970204,0.653536060099989
S027_G01_D01_B03_T03,218,0.1,21,197,0.884856289289758,0.903055173746362,0.887124351370264
S027_G01_D02_B01_T01,217,0.1,21,196,0.80533494146572,0.812336682091781,0.83148298643295
S027_G01_D02_B01_T02,218,0.1,21,197,0.754788465045195,0.779250032852637,0.757740532953982
S027_G01_D02_B01_T03,216,0.1,21,195,0.854052470319953,0.879973271628817,0.854492801497218
