"id","rep","stride.intervals","drops","stride.intervals.cut","stride.intervals.new.length","h.original","h.random","h.contiguous"
"H1002_SP_1p0_flat_2",50,50,0.04,2,48,0.362072500754613,0.391857875319752,0.386232940770579
"H1002_SP_1p0_flat_2",50,50,0.06,3,47,0.362072500754613,0.394316398009551,0.387394323687037
"H1002_SP_1p0_flat_2",50,50,0.08,4,46,0.362072500754613,0.392498936076416,0.378924965041857
"H1002_SP_1p0_flat_2",50,50,0.1,5,45,0.362072500754613,0.387242658974747,0.372174870000631
"H1002_SP_1p0_flat_2",50,100,0.02,2,98,0.457821407454554,0.466109634561292,0.468161532524969
"H1002_SP_1p0_flat_2",50,100,0.04,4,96,0.457821407454554,0.468019253791827,0.464546093847365
"H1002_SP_1p0_flat_2",50,100,0.06,6,94,0.457821407454554,0.470255735054845,0.468897946773306
"H1002_SP_1p0_flat_2",50,100,0.08,8,92,0.457821407454554,0.470582584727835,0.479043565188679
"H1002_SP_1p0_flat_2",50,100,0.1,10,90,0.457821407454554,0.475083910704199,0.466274908012259
"H1004_SP_0p25_flat_1",50,50,0.02,1,49,0.738312101866351,0.753352888644622,0.748906044191234
"H1004_SP_0p25_flat_1",50,50,0.04,2,48,0.738312101866351,0.756942420985196,0.74223866878564
"H1004_SP_0p25_flat_1",50,50,0.06,3,47,0.738312101866351,0.745626071175602,0.754344431675803
"H1004_SP_0p25_flat_1",50,50,0.08,4,46,0.738312101866351,0.740236875041784,0.74920633633595
"H1004_SP_0p25_flat_1",50,50,0.1,5,45,0.738312101866351,0.743266515032207,0.745164194002231
"H1004_SP_0p25_flat_2",50,50,0.02,1,49,0.866427565549035,0.865444991794554,0.871283537666542
"H1004_SP_0p25_flat_2",50,50,0.04,2,48,0.866427565549035,0.868561290425318,0.873070049081286
"H1004_SP_0p25_flat_2",50,50,0.06,3,47,0.866427565549035,0.864060391140771,0.861258110284605
"H1004_SP_0p25_flat_2",50,50,0.08,4,46,0.866427565549035,0.863077729559299,0.861728347610789
"H1004_SP_0p25_flat_2",50,50,0.1,5,45,0.866427565549035,0.859426760712075,0.859643490565815
"H1004_SP_0p5_flat_1",50,50,0.02,1,49,0.630641763422405,0.621057661318867,0.622482780625746
"H1004_SP_0p5_flat_1",50,50,0.04,2,48,0.630641763422405,0.614890076879491,0.618408243158218
"H1004_SP_0p5_flat_1",50,50,0.06,3,47,0.630641763422405,0.619215045578964,0.623483222987121
"H1004_SP_0p5_flat_1",50,50,0.08,4,46,0.630641763422405,0.619778764759628,0.622170851352257
"H1004_SP_0p5_flat_1",50,50,0.1,5,45,0.630641763422405,0.624087037677276,0.622838512840816
"H1004_SP_0p5_flat_1",50,100,0.02,2,98,0.730371611249167,0.732628784576687,0.727670355237713
"H1004_SP_0p5_flat_1",50,100,0.04,4,96,0.730371611249167,0.726029493000884,0.727367300164145
"H1004_SP_0p5_flat_1",50,100,0.06,6,94,0.730371611249167,0.724812456256878,0.733199100015964
"H1004_SP_0p5_flat_1",50,100,0.08,8,92,0.730371611249167,0.73165197631327,0.724828768411088
"H1004_SP_0p5_flat_1",50,100,0.1,10,90,0.730371611249167,0.722971842015986,0.728771833694912
"H1004_SP_0p5_flat_2",50,50,0.02,1,49,0.814953931983095,0.812156790445484,0.817418484964767
"H1004_SP_0p5_flat_2",50,50,0.04,2,48,0.814953931983095,0.821110330374544,0.814358719746661
"H1004_SP_0p5_flat_2",50,50,0.06,3,47,0.814953931983095,0.780450485131764,0.824932301701084
"H1004_SP_0p5_flat_2",50,50,0.08,4,46,0.814953931983095,0.801091547847777,0.816910719476338
"H1004_SP_0p5_flat_2",50,50,0.1,5,45,0.814953931983095,0.782286158688981,0.812242103829673
"H1004_SP_0p5_flat_2",50,100,0.02,2,98,0.819741913988255,0.779874140627501,0.802406136381668
"H1004_SP_0p5_flat_2",50,100,0.04,4,96,0.819741913988255,0.796741790621611,0.801354134305725
"H1004_SP_0p5_flat_2",50,100,0.06,6,94,0.819741913988255,0.769832575685754,0.789277834045202
"H1004_SP_0p5_flat_2",50,100,0.08,8,92,0.819741913988255,0.780070188547852,0.799813592938334
"H1004_SP_0p5_flat_2",50,100,0.1,10,90,0.819741913988255,0.75051285500363,0.798943436005311
"H1004_SP_0p75_flat_1",50,50,0.02,1,49,0.59690959023498,0.58167758700849,0.59310331470524
