"id","rep","stride.intervals","drops","stride.intervals.cut","stride.intervals.new.length","h.original","h.random","h.contiguous"
"S047_G02_D01_B01_T01",100,200,0.1,20,180,0.960828040015651,0.953146198471291,0.961700534470687
"S047_G02_D01_B01_T02",100,50,0.02,1,49,0.859098865324631,0.862465945583277,0.864023180343781
"S047_G02_D01_B01_T02",100,50,0.04,2,48,0.859098865324631,0.861050952968886,0.859770616343934
"S047_G02_D01_B01_T02",100,50,0.06,3,47,0.859098865324631,0.862505038925835,0.859926773786684
"S047_G02_D01_B01_T02",100,50,0.08,4,46,0.859098865324631,0.858887679190491,0.859041820251253
"S047_G02_D01_B01_T02",100,50,0.1,5,45,0.859098865324631,0.861338138134573,0.858682881556272
"S047_G02_D01_B01_T02",100,100,0.02,2,98,0.875438274320681,0.883573154358964,0.884488690861343
"S047_G02_D01_B01_T02",100,100,0.04,4,96,0.875438274320681,0.885070768463828,0.885067050419629
"S047_G02_D01_B01_T02",100,100,0.06,6,94,0.875438274320681,0.883317723348283,0.886515774304818
"S047_G02_D01_B01_T02",100,100,0.08,8,92,0.875438274320681,0.885481006625758,0.884500020477136
"S047_G02_D01_B01_T02",100,100,0.1,10,90,0.875438274320681,0.881663460694954,0.890063816854223
"S047_G02_D01_B01_T02",100,150,0.02,3,147,0.887828792989021,0.878881631763375,0.880282810535165
"S047_G02_D01_B01_T02",100,150,0.04,6,144,0.887828792989021,0.878488136286142,0.879916203450705
"S047_G02_D01_B01_T02",100,150,0.06,9,141,0.887828792989021,0.8785797160032,0.881097040585063
"S047_G02_D01_B01_T02",100,150,0.08,12,138,0.887828792989021,0.879102593053153,0.883598040121107
"S047_G02_D01_B01_T02",100,150,0.1,15,135,0.887828792989021,0.877462448000386,0.88241209744012
"S047_G02_D01_B01_T02",100,200,0.02,4,196,0.864609874906018,0.86595758446682,0.866063089633703
"S047_G02_D01_B01_T02",100,200,0.04,8,192,0.864609874906018,0.866303224287636,0.865187186386699
"S047_G02_D01_B01_T02",100,200,0.06,12,188,0.864609874906018,0.864279867182628,0.868379253927511
"S047_G02_D01_B01_T02",100,200,0.08,16,184,0.864609874906018,0.863631357507533,0.868012779015738
"S047_G02_D01_B01_T02",100,200,0.1,20,180,0.864609874906018,0.862935217193624,0.870982859984171
"S047_G02_D01_B01_T03",100,50,0.02,1,49,0.796561539446702,0.767872844624284,0.768681100547248
"S047_G02_D01_B01_T03",100,50,0.04,2,48,0.796561539446702,0.759020010191447,0.77492751077536
"S047_G02_D01_B01_T03",100,50,0.06,3,47,0.796561539446702,0.751004067933038,0.779479944835904
"S047_G02_D01_B01_T03",100,50,0.08,4,46,0.796561539446702,0.748998845006025,0.777461355610541
"S047_G02_D01_B01_T03",100,50,0.1,5,45,0.796561539446702,0.741718265888309,0.774908429283672
